Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5407724;4/12/2022;19 Ciudad Bolivar;MANUELA BELTRAN;N/A;CL 69D BIS SUR 45 BIS 21;Daño en redes de servicio públicos energía
5407725;4/12/2022;2 Chapinero;CHAPINERO CENTRAL;N/A;KM 5 VIA LA CALERA;Daño en redes de servicio públicos energía
5407726;4/12/2022;1 Usaquen;SORATAMA;N/A;KR 2A 167 10;Animales Peligrosos
5407727;4/12/2022;2 Chapinero;PORCIUNCULA;N/A;CL 73 10 60;Daño en redes de servicio públicos acueducto
5407728;4/12/2022;10 Engativa;VINA DEL MAR;N/A;KR 105 64;Daño en redes de servicio públicos energía
5407729;4/12/2022;8 Kennedy;VEGAS DE SANTA ANA - SAMARIA;N/A;DG 57A SUR 81J 32;Daño en redes de servicio públicos energía
5407730;4/12/2022;8 Kennedy;EL RINCON DE LOS ANGELES;N/A;CL 6B 74 21;Animales Peligrosos
5407731;4/12/2022;12 Barrios Unidos;POPULAR MODELO - URB. CIUDADELA DE LOS PARQUES;N/A;CL 65 56B 0;Caida de árbol
5407732;4/12/2022;1 Usaquen;LA URIBE;N/A;KR 22A 172 30;Daño en redes de servicio públicos gas
5407733;4/12/2022;1 Usaquen;LAS MARGARITAS I SECTOR;N/A;AC 147 17 60;Conato de incendio
5407734;4/12/2022;19 Ciudad Bolivar;ISMAEL PERDOMO;N/A;CL 63 SUR 73D 44;Incendio Vehicular - Conato Vehicular
5407735;4/12/2022;7 Bosa;ISLANDIA II;N/A;CL 73C SUR 84 50;Animales Peligrosos
5407736;4/12/2022;4 San Cristobal;EL RAMAJAL SAN PEDRO;N/A;KR 9B ESTE 28C SUR 55;Animales Peligrosos
5407737;4/12/2022;8 Kennedy;KENNEDY OCCIDENTAL SUPERMANZANA 14;N/A;KR 79B 41B SUR 16;Escape de gas
5407738;4/12/2022;10 Engativa;MINUTOS DE DIOS;N/A;KR 75 81 41;Daño en redes de servicio públicos acueducto
5407739;4/12/2022;10 Engativa;LAS FERIAS OCCIDENTAL;N/A;KR 69P 73 0;Conato de incendio
5407740;4/12/2022;13 Teusaquillo;CIUDAD SALITRE NORORIENTAL;N/A;AC 24 56 0;Caida de árbol - Pérdida de verticalidad de árbol
5407741;4/12/2022;11 Suba;LA CAMPINA;N/A;KR 94A 147 25;Daño en redes de servicio públicos gas
5407742;4/12/2022;1 Usaquen;SANTA ANA OCCIDENTAL;N/A;AK 7 113 51;Daño en redes de servicio públicos acueducto
5407743;4/12/2022;1 Usaquen;LA GRANJA NORTE;N/A;AC 170 8G 40;Rescate en Espacios Confinados - En Ascensores
5407744;4/12/2022;7 Bosa;VILLAS DEL_PROGRESO;N/A;CL 72B SUR 89A 1;Animales Peligrosos
5407745;4/12/2022;1 Usaquen;VILLAS DE ARANJUEZ;N/A;CL 166 9 24;Rescate en Espacios Confinados - En Ascensores
5407746;4/12/2022;11 Suba;LA ALHAMBRA SECTOR NORTE;N/A;CL 118 53A 33;Rescate en Espacios Confinados - En Ascensores
5407747;4/12/2022;10 Engativa;LA ISABELA I ETAPA;N/A;CL 64D 85J 77;Daño en redes de servicio públicos energía
5407748;4/12/2022;11 Suba;S C. CASABLANCA SUBA;N/A;CL 183 76 0;Quemas
5407749;4/12/2022;12 Barrios Unidos;SIETE DE AGOSTO;N/A;KR 24 64 22;Conato de incendio
5407750;4/12/2022;10 Engativa;LOS ALAMOS - SAN IGNACIO;N/A;AK 86 55A 75;Daño en redes de servicio públicos energía
5407751;4/12/2022;7 Bosa;DANUBIO;N/A;KR 88C 58 SUR 1;Daño en redes de servicio públicos energía
5407752;4/12/2022;1 Usaquen;ALAMEDA;N/A;CL 170 49 B;Daño en redes de servicio públicos energía
5407753;4/12/2022;8 Kennedy;CIUDAD TECHO II;N/A;DG 3 83 2;Rescate en Espacios Confinados - En Ascensores
